URL,Size (Bytes),# of Outlinks,Content-Type
https://www.nytimes.com/,1021801,311,text/html; charset=utf-8
https://www.nytimes.com/puzzles/letter-boxed,107403,24,text/html; charset=utf-8
https://www.nytimes.com/athletic/nba/,2045077,209,text/html; charset=utf-8
https://www.nytimes.com/newsletters/the-interpreter,110241,20,text/html; charset=utf-8
https://www.nytimes.com/newsletters/cooking,109989,20,text/html; charset=utf-8
https://www.nytimes.com/newsletters,93364,19,text/html; charset=utf-8
https://www.nytimes.com/column/social-qs,255728,40,text/html; charset=utf-8
https://www.nytimes.com/by/maureen-dowd,437398,46,text/html; charset=utf-8
https://www.nytimes.com/interactive/2024/nyregion/eric-adams-investigations.html,287136,60,text/html; charset=utf-8
https://www.nytimes.com/section/technology,1247179,60,text/html; charset=utf-8
https://www.nytimes.com/athletic/5698572/2024/09/13/nfl-playoffs-projections-odds/,8864456,155,text/html; charset=utf-8
https://www.nytimes.com/athletic/5806530/2024/10/01/nfl-power-rankings-week-5-vikings-rookies/,2016725,304,text/html; charset=utf-8
https://www.nytimes.com/section/your-money,571902,56,text/html; charset=utf-8
https://www.nytimes.com/column/playlist,370241,41,text/html; charset=utf-8
https://www.nytimes.com/by/carlos-lozada,516610,49,text/html; charset=utf-8
https://www.nytimes.com/wirecutter/sleep/,575210,788,text/html; charset=utf-8
https://www.nytimes.com/section/sports,368178,35,text/html; charset=utf-8
https://www.nytimes.com/athletic/newsletters/scoop-city/,2069875,139,text/html; charset=utf-8
https://www.nytimes.com/spotlight/pop-culture,573159,40,text/html; charset=utf-8
https://www.nytimes.com/athletic/newsletters/the-pulse/,2068808,139,text/html; charset=utf-8
https://www.nytimes.com/spotlight/podcasts,2672912,127,text/html; charset=utf-8
https://www.nytimes.com/spotlight/wordle-review,316066,40,text/html; charset=utf-8
https://www.nytimes.com/news-event/2024-election,1254943,68,text/html; charset=utf-8
https://www.nytimes.com/section/climate,885910,57,text/html; charset=utf-8
https://www.nytimes.com/spotlight/the-sunday-read,369551,46,text/html; charset=utf-8
https://www.nytimes.com/subscription/all-access,85389,8,text/html; charset=utf-8
https://www.nytimes.com/card/2024/10/04/world/middleeast/lebanon-israel,179463,19,text/html; charset=utf-8
https://www.nytimes.com/newsletters/your-places-global-update,109375,19,text/html; charset=utf-8
https://www.nytimes.com/section/world/australia,451299,42,text/html; charset=utf-8
https://www.nytimes.com/interactive/2024/us/politics/trump-harris-issues-election.html,666129,419,text/html; charset=utf-8
https://www.nytimes.com/by/pamela-paul,410015,42,text/html; charset=utf-8
https://www.nytimes.com/subscription?campaignId=37WXW,85383,8,text/html; charset=utf-8
https://www.nytimes.com/section/arts,827460,67,text/html; charset=utf-8
https://www.nytimes.com/puzzle-personality,174504,19,text/html; charset=utf-8
https://www.nytimes.com/athletic/mlb/,2080487,209,text/html; charset=utf-8
https://www.nytimes.com/by/nicholas-kristof,369781,55,text/html; charset=utf-8
https://www.nytimes.com/section/weather,998211,48,text/html; charset=utf-8
https://www.nytimes.com/books/best-sellers,393528,273,text/html; charset=utf-8
https://www.nytimes.com/topic/organization/us-supreme-court,501644,41,text/html; charset=utf-8
https://www.nytimes.com/column/ezra-klein-podcast,350558,40,text/html; charset=utf-8
https://www.nytimes.com/section/opinion/environment,350273,43,text/html; charset=utf-8
https://www.nytimes.com/section/world/canada,444569,45,text/html; charset=utf-8
https://www.nytimes.com/news-event/donald-trump-investigations,802033,51,text/html; charset=utf-8
https://www.nytimes.com/column/modern-love-podcast,899373,40,text/html; charset=utf-8
https://www.nytimes.com/by/tressie-mcmillan-cottom,620927,37,text/html; charset=utf-8
https://www.nytimes.com/athletic/college-football/,2096342,201,text/html; charset=utf-8
https://www.nytimes.com/section/opinion/contributors,333050,40,text/html; charset=utf-8
